Rank,zipcode,population
1,37013,97939
3,37211,75955
11,37027,56117
28,37221,41017
32,37115,40343
33,37076,40161
36,37207,39544
40,37209,38664
58,37072,31492
60,37214,30528
62,37217,30146
82,37206,26382
97,37205,23790
98,37138,23784
105,37215,22379
112,37212,20803
113,37069,20467
124,37208,18011
126,37216,17848
135,37210,17248
146,37218,15721
150,37204,15452
159,37203,15091
236,37080,7394
272,37220,5880
334,37189,4016
466,37201,1619
467,37228,1615
503,37219,1154
596,37213,95
