,37013,,37027,,37069,,37072,,37076,,37080,,37115,,37138,,37189,,37201,,37203,,37204,,37205,,37206,,37207,,37208,,37209,,37210,,37211,,37212,,37213,,37214,,37215,,37216,,37217,,37218,,37219,,37220,,37221,,37228,
,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error,Value,Error
11th grade,0.53%,0.28%,0.03%,0.05%,0.05%,0.07%,0.95%,0.45%,0.97%,0.54%,3.58%,1.79%,2.06%,0.75%,1.46%,0.95%,1.15%,0.86%,1.91%,1.67%,1.71%,0.93%,0.83%,0.60%,0.09%,0.10%,0.82%,0.59%,2.24%,0.78%,1.46%,0.75%,1.63%,0.55%,1.36%,0.73%,1.04%,0.32%,0.41%,0.32%,0.00%,15.79%,0.58%,0.35%,0.15%,0.20%,1.34%,0.89%,0.45%,0.34%,1.92%,0.95%,0.00%,1.26%,0.00%,0.40%,0.34%,0.22%,2.92%,3.49%
"12th grade, no diploma",1.06%,0.24%,0.17%,0.14%,0.34%,0.33%,0.88%,0.39%,1.00%,0.43%,1.12%,0.76%,1.02%,0.45%,1.01%,0.59%,1.27%,0.89%,0.08%,0.16%,1.21%,0.76%,0.13%,0.15%,0.20%,0.17%,0.13%,0.17%,1.33%,0.62%,1.04%,0.57%,0.38%,0.22%,1.21%,0.85%,1.08%,0.31%,0.65%,0.47%,0.00%,15.79%,0.69%,0.34%,0.32%,0.50%,0.70%,0.41%,0.87%,0.52%,1.86%,1.12%,0.00%,1.26%,0.00%,0.40%,0.32%,0.17%,0.00%,0.97%
High school graduate (includes equivalency),13.57%,1.30%,3.24%,0.53%,3.08%,0.75%,14.39%,1.70%,12.55%,1.67%,17.38%,3.17%,16.58%,1.68%,11.21%,2.09%,14.65%,4.40%,19.49%,7.08%,6.83%,1.49%,2.62%,0.89%,2.96%,0.78%,10.37%,1.77%,16.39%,2.18%,11.69%,2.03%,10.65%,1.19%,13.45%,2.14%,12.07%,1.26%,4.40%,1.78%,71.05%,152.63%,11.49%,1.78%,1.56%,0.60%,11.57%,2.16%,15.92%,2.31%,14.90%,2.99%,5.46%,6.40%,6.59%,2.99%,6.56%,1.04%,5.60%,5.44%
"Some college, less than 1 year",2.38%,0.51%,1.31%,0.45%,1.73%,0.79%,3.37%,0.75%,2.73%,0.71%,3.26%,1.38%,3.20%,0.86%,3.57%,1.06%,2.17%,1.37%,2.86%,4.22%,1.50%,0.78%,1.08%,0.54%,1.07%,0.43%,2.98%,1.04%,1.94%,0.64%,1.72%,0.78%,1.83%,0.53%,1.98%,0.80%,1.61%,0.30%,1.45%,1.22%,0.00%,15.79%,2.55%,0.73%,1.88%,1.02%,2.74%,0.95%,3.54%,1.12%,2.24%,0.88%,0.00%,1.26%,2.64%,1.75%,1.46%,0.43%,0.00%,0.97%
"Some college, 1 or more years, no degree",7.34%,0.87%,3.55%,0.57%,5.26%,1.20%,6.05%,1.20%,7.29%,1.26%,6.50%,2.02%,7.56%,1.28%,7.17%,1.69%,5.35%,2.64%,10.82%,5.33%,5.85%,2.46%,4.43%,1.47%,4.35%,1.01%,5.81%,1.36%,7.08%,1.52%,6.02%,1.92%,7.09%,1.63%,6.39%,1.54%,6.50%,0.92%,6.05%,2.33%,0.00%,15.79%,8.01%,1.41%,2.91%,1.07%,8.27%,1.57%,7.54%,1.24%,8.41%,2.33%,7.97%,7.87%,4.75%,1.87%,7.20%,1.08%,5.93%,6.66%
Associate's degree,3.81%,0.71%,1.49%,0.44%,1.49%,0.52%,3.51%,1.03%,2.68%,0.60%,2.20%,1.05%,2.73%,0.77%,2.92%,0.94%,1.56%,1.21%,2.23%,2.70%,1.41%,0.93%,2.64%,1.32%,1.59%,0.61%,1.38%,0.53%,2.33%,0.62%,1.18%,0.61%,2.05%,0.65%,2.07%,0.81%,2.43%,0.42%,1.03%,0.85%,0.00%,15.79%,4.29%,1.19%,0.85%,0.50%,2.64%,0.92%,3.12%,0.95%,2.05%,0.95%,1.89%,2.94%,0.84%,0.79%,2.90%,0.68%,1.14%,1.95%
Bachelor's degree,9.81%,0.96%,20.92%,1.18%,20.16%,1.94%,9.77%,1.34%,13.06%,1.58%,7.04%,2.02%,5.51%,1.10%,11.51%,1.70%,8.67%,2.93%,23.07%,11.46%,16.75%,3.18%,20.54%,2.86%,18.96%,2.01%,15.39%,1.70%,7.12%,1.06%,7.73%,1.97%,12.85%,1.69%,11.11%,1.99%,12.70%,1.19%,15.95%,2.84%,28.95%,34.21%,13.62%,1.85%,16.02%,1.75%,14.69%,2.16%,10.68%,1.66%,5.09%,1.64%,22.14%,12.38%,19.03%,3.25%,14.19%,1.25%,7.71%,6.66%
Master's degree,3.05%,0.53%,10.87%,1.08%,9.04%,1.13%,2.85%,0.66%,3.27%,0.86%,2.04%,1.01%,1.26%,0.45%,3.50%,0.96%,3.73%,2.07%,1.43%,2.23%,6.99%,2.63%,7.57%,1.48%,7.76%,1.21%,4.23%,1.08%,1.59%,0.54%,6.06%,1.90%,4.23%,0.73%,0.90%,0.44%,4.38%,0.57%,9.34%,2.41%,0.00%,15.79%,2.79%,0.69%,7.13%,1.15%,3.36%,0.88%,1.44%,0.52%,1.40%,0.64%,3.99%,4.62%,8.16%,2.36%,6.10%,0.98%,1.22%,2.11%
Professional school degree,0.64%,0.44%,3.62%,0.51%,3.76%,0.96%,0.83%,0.41%,0.69%,0.28%,0.27%,0.30%,0.22%,0.15%,1.31%,0.72%,0.83%,0.76%,0.00%,0.95%,3.39%,1.28%,3.57%,1.11%,5.67%,1.22%,1.33%,0.51%,0.21%,0.22%,1.60%,0.79%,1.94%,0.68%,0.90%,0.69%,0.87%,0.25%,3.70%,1.16%,0.00%,15.79%,0.52%,0.25%,9.67%,1.48%,0.69%,0.35%,0.30%,0.16%,0.80%,0.78%,11.12%,8.71%,5.70%,1.80%,1.96%,0.45%,2.52%,3.17%
Doctorate degree,0.18%,0.12%,2.43%,0.47%,1.80%,0.64%,0.50%,0.34%,0.66%,0.43%,0.96%,0.74%,0.23%,0.16%,1.00%,0.48%,0.19%,0.32%,1.43%,2.31%,2.62%,0.95%,1.83%,0.64%,2.97%,0.74%,0.96%,0.52%,0.28%,0.19%,0.96%,0.56%,1.35%,0.61%,0.75%,0.65%,0.58%,0.22%,5.69%,1.61%,0.00%,15.79%,0.61%,0.33%,3.72%,0.82%,0.72%,0.36%,0.33%,0.26%,0.42%,0.28%,3.67%,5.88%,1.22%,0.79%,2.39%,0.54%,2.11%,2.52%
