Zip,total,none,perc_none,n_4,perc_n_4,n_4_orless,perc_n_4_orless,5_6,perc_5_6,5_6_orless,perc_5_6_orless,7_8,perc_7_8,7_8_orless,perc_7_8_orless,9,perc_9,9_orless,perc_9_orless,10,perc_10,10_orless,perc_10_orless,11,perc_11,11_orless,perc_11_orless,12,perc_12,12_orless,perc_12_orless,perc_hs_grad_ormore,hs_grad,perc_hs_grad,hs_grad_orless,perc_hs_grad_orless,col_<1,perc_col_<1,col_<1_orless,perc_col_<1_orless,col_>1,perc_col_>1,col_>1_orless,perc_col_>1_orless,perc_associate_ormore,associate,perc_associate,associate_orless,perc_associate_orless,bachelor,perc_bachelor,bachelor_orless,perc_bachelor_orless,master,perc_master,master_orless,perc_master_orless,professional,perc_professional,professional_orless,perc_professional_orless,doctorate,perc_doctorate,doctorate_orless,perc_doctorate_orless
37187,5304,129,2.43,10,0.19,139,2.62,11,0.21,150,2.83,260,4.9,410,7.73,103,1.94,513,9.67,323,6.09,836,15.76,265,5,1101,20.76,105,1.98,1206,22.74,77.26,2333,43.99,3539,66.72,250,4.71,3789,71.44,504,9.5,4293,80.94,19.06,240,4.52,4533,85.46,359,6.77,4892,92.23,334,6.3,5226,98.53,16,0.3,5242,98.83,62,1.17,5304,100
37188,10362,71,0.69,20,0.19,91,0.88,6,0.06,97,0.94,173,1.67,270,2.61,80,0.77,350,3.38,170,1.64,520,5.02,79,0.76,599,5.78,105,1.01,704,6.79,93.21,3542,34.18,4246,40.98,915,8.83,5161,49.81,1626,15.69,6787,65.5,34.50,912,8.8,7699,74.3,1994,19.24,9693,93.54,582,5.62,10275,99.16,14,0.14,10289,99.3,73,0.7,10362,100
37189,3139,0,0,0,0,0,0,14,0.45,14,0.45,22,0.7,36,1.15,20,0.64,56,1.78,24,0.76,80,2.55,36,1.15,116,3.7,69,2.2,185,5.89,94.11,859,27.37,1044,33.26,184,5.86,1228,39.12,487,15.51,1715,54.64,45.36,225,7.17,1940,61.8,717,22.84,2657,84.64,317,10.1,2974,94.74,107,3.41,3081,98.15,58,1.85,3139,100
37190,6139,90,1.47,22,0.36,112,1.82,49,0.8,161,2.62,181,2.95,342,5.57,142,2.31,484,7.88,159,2.59,643,10.47,165,2.69,808,13.16,80,1.3,888,14.46,85.54,2657,43.28,3545,57.75,243,3.96,3788,61.7,964,15.7,4752,77.41,22.59,276,4.5,5028,81.9,644,10.49,5672,92.39,296,4.82,5968,97.21,73,1.19,6041,98.4,98,1.6,6139,100
37201,1257,0,0,0,0,0,0,17,1.35,17,1.35,38,3.02,55,4.38,15,1.19,70,5.57,48,3.82,118,9.39,24,1.91,142,11.3,1,0.08,143,11.38,88.62,245,19.49,388,30.87,99,7.88,487,38.74,202,16.07,689,54.81,45.19,28,2.23,717,57.04,467,37.15,1184,94.19,37,2.94,1221,97.14,18,1.43,1239,98.57,18,1.43,1257,100
37203,11223,46,0.41,26,0.23,72,0.64,0,0,72,0.64,89,0.79,161,1.43,184,1.64,345,3.07,150,1.34,495,4.41,306,2.73,801,7.14,217,1.93,1018,9.07,90.93,1397,12.45,2415,21.52,471,4.2,2886,25.72,1222,10.89,4108,36.6,63.40,423,3.77,4531,40.37,3730,33.24,8261,73.61,1858,16.56,10119,90.16,623,5.55,10742,95.71,481,4.29,11223,100
37204,9905,63,0.64,6,0.06,69,0.7,20,0.2,89,0.9,6,0.06,95,0.96,65,0.66,160,1.62,82,0.83,242,2.44,143,1.44,385,3.89,38,0.38,423,4.27,95.73,696,7.03,1119,11.3,219,2.21,1338,13.51,988,9.97,2326,23.48,76.52,505,5.1,2831,28.58,4207,42.47,7038,71.06,1888,19.06,8926,90.12,663,6.69,9589,96.81,316,3.19,9905,100
37205,18164,9,0.05,62,0.34,71,0.39,0,0,71,0.39,52,0.29,123,0.68,56,0.31,179,0.99,52,0.29,231,1.27,51,0.28,282,1.55,50,0.28,332,1.83,98.17,1220,6.72,1552,8.54,542,2.98,2094,11.53,1700,9.36,3794,20.89,79.11,724,3.99,4518,24.87,7252,39.93,11770,64.8,3385,18.64,15155,83.43,1889,10.4,17044,93.83,1120,6.17,18164,100
37206,18741,241,1.29,27,0.14,268,1.43,76,0.41,344,1.84,222,1.18,566,3.02,216,1.15,782,4.17,323,1.72,1105,5.9,405,2.16,1510,8.06,157,0.84,1667,8.89,91.11,3683,19.65,5350,28.55,1135,6.06,6485,34.6,2579,13.76,9064,48.36,51.64,786,4.19,9850,52.56,5868,31.31,15718,83.87,2119,11.31,17837,95.18,576,3.07,18413,98.25,328,1.75,18741,100
37207,25832,580,2.25,88,0.34,668,2.59,385,1.49,1053,4.08,459,1.78,1512,5.85,496,1.92,2008,7.77,586,2.27,2594,10.04,954,3.69,3548,13.73,730,2.83,4278,16.56,83.44,8857,34.29,13135,50.85,1545,5.98,14680,56.83,4230,16.38,18910,73.2,26.80,1443,5.59,20353,78.79,3745,14.5,24098,93.29,1319,5.11,25417,98.39,178,0.69,25595,99.08,237,0.92,25832,100
37208,11873,203,1.71,8,0.07,211,1.78,55,0.46,266,2.24,287,2.42,553,4.66,357,3.01,910,7.66,285,2.4,1195,10.06,496,4.18,1691,14.24,289,2.43,1980,16.68,83.32,2771,23.34,4751,40.02,539,4.54,5290,44.55,1815,15.29,7105,59.84,40.16,286,2.41,7391,62.25,2270,19.12,9661,81.37,1602,13.49,11263,94.86,309,2.6,11572,97.46,301,2.54,11873,100
37209,26141,338,1.29,93,0.36,431,1.65,128,0.49,559,2.14,344,1.32,903,3.45,235,0.9,1138,4.35,670,2.56,1808,6.92,708,2.71,2516,9.62,295,1.13,2811,10.75,89.25,5274,20.18,8085,30.93,915,3.5,9000,34.43,3481,13.32,12481,47.74,52.26,1541,5.89,14022,53.64,7487,28.64,21509,82.28,2835,10.85,24344,93.13,1172,4.48,25516,97.61,625,2.39,26141,100
37210,10895,261,2.4,106,0.97,367,3.37,319,2.93,686,6.3,164,1.51,850,7.8,394,3.62,1244,11.42,268,2.46,1512,13.88,319,2.93,1831,16.81,375,3.44,2206,20.25,79.75,3167,29.07,5373,49.32,498,4.57,5871,53.89,1507,13.83,7378,67.72,32.28,630,5.78,8008,73.5,2199,20.18,10207,93.69,432,3.97,10639,97.65,162,1.49,10801,99.14,94,0.86,10895,100
