Zip,total,none,perc_none,n_4,perc_n_4,n_4_orless,perc_n_4_orless,5_6,perc_5_6,5_6_orless,perc_5_6_orless,7_8,perc_7_8,7_8_orless,perc_7_8_orless,9,perc_9,9_orless,perc_9_orless,10,perc_10,10_orless,perc_10_orless,11,perc_11,11_orless,perc_11_orless,12,perc_12,12_orless,perc_12_orless,perc_hs_grad_ormore,hs_grad,perc_hs_grad,hs_grad_orless,perc_hs_grad_orless,col_<1,perc_col_<1,col_<1_orless,perc_col_<1_orless,col_>1,perc_col_>1,col_>1_orless,perc_col_>1_orless,perc_associate_ormore,associate,perc_associate,associate_orless,perc_associate_orless,bachelor,perc_bachelor,bachelor_orless,perc_bachelor_orless,master,perc_master,master_orless,perc_master_orless,professional,perc_professional,professional_orless,perc_professional_orless,doctorate,perc_doctorate,doctorate_orless,perc_doctorate_orless
37206,18741,241,1.29,27,0.14,268,1.43,76,0.41,344,1.84,222,1.18,566,3.02,216,1.15,782,4.17,323,1.72,1105,5.9,405,2.16,1510,8.06,157,0.84,1667,8.89,91.11,3683,19.65,5350,28.55,1135,6.06,6485,34.6,2579,13.76,9064,48.36,51.64,786,4.19,9850,52.56,5868,31.31,15718,83.87,2119,11.31,17837,95.18,576,3.07,18413,98.25,328,1.75,18741,100
37207,25832,580,2.25,88,0.34,668,2.59,385,1.49,1053,4.08,459,1.78,1512,5.85,496,1.92,2008,7.77,586,2.27,2594,10.04,954,3.69,3548,13.73,730,2.83,4278,16.56,83.44,8857,34.29,13135,50.85,1545,5.98,14680,56.83,4230,16.38,18910,73.2,26.8,1443,5.59,20353,78.79,3745,14.5,24098,93.29,1319,5.11,25417,98.39,178,0.69,25595,99.08,237,0.92,25832,100
37208,11873,203,1.71,8,0.07,211,1.78,55,0.46,266,2.24,287,2.42,553,4.66,357,3.01,910,7.66,285,2.4,1195,10.06,496,4.18,1691,14.24,289,2.43,1980,16.68,83.32,2771,23.34,4751,40.02,539,4.54,5290,44.55,1815,15.29,7105,59.84,40.16,286,2.41,7391,62.25,2270,19.12,9661,81.37,1602,13.49,11263,94.86,309,2.6,11572,97.46,301,2.54,11873,100
37209,26141,338,1.29,93,0.36,431,1.65,128,0.49,559,2.14,344,1.32,903,3.45,235,0.9,1138,4.35,670,2.56,1808,6.92,708,2.71,2516,9.62,295,1.13,2811,10.75,89.25,5274,20.18,8085,30.93,915,3.5,9000,34.43,3481,13.32,12481,47.74,52.26,1541,5.89,14022,53.64,7487,28.64,21509,82.28,2835,10.85,24344,93.13,1172,4.48,25516,97.61,625,2.39,26141,100
37210,10895,261,2.4,106,0.97,367,3.37,319,2.93,686,6.3,164,1.51,850,7.8,394,3.62,1244,11.42,268,2.46,1512,13.88,319,2.93,1831,16.81,375,3.44,2206,20.25,79.75,3167,29.07,5373,49.32,498,4.57,5871,53.89,1507,13.83,7378,67.72,32.28,630,5.78,8008,73.5,2199,20.18,10207,93.69,432,3.97,10639,97.65,162,1.49,10801,99.14,94,0.86,10895,100
37211,52117,1528,2.93,738,1.42,2266,4.35,1273,2.44,3539,6.79,1504,2.89,5043,9.68,1334,2.56,6377,12.24,1015,1.95,7392,14.18,775,1.49,8167,15.67,1122,2.15,9289,17.82,82.18,11897,22.83,21186,40.65,2007,3.85,23193,44.5,6621,12.7,29814,57.21,42.79,2937,5.64,32751,62.84,12916,24.78,45667,87.62,4999,9.59,50666,97.22,811,1.56,51477,98.77,640,1.23,52117,100
37212,10553,50,0.47,7,0.07,57,0.54,0,0,57,0.54,53,0.5,110,1.04,57,0.54,167,1.58,59,0.56,226,2.14,84,0.8,310,2.94,120,1.14,430,4.07,95.93,934,8.85,1364,12.93,405,3.84,1769,16.76,962,9.12,2731,25.88,74.12,396,3.75,3127,29.63,3604,34.15,6731,63.78,2045,19.38,8776,83.16,825,7.82,9601,90.98,952,9.02,10553,100
37213,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,54,71.05,54,71.05,0,0,54,71.05,0,0,54,71.05,28.95,0,0,54,71.05,22,28.95,76,100,0,0,76,100,0,0,76,100,0,0,76,100
37214,23046,170,0.74,27,0.12,197,0.85,57,0.25,254,1.1,117,0.51,371,1.61,123,0.53,494,2.14,351,1.52,845,3.67,229,0.99,1074,4.66,316,1.37,1390,6.03,93.97,5609,24.34,6999,30.37,1535,6.66,8534,37.03,3461,15.02,11995,52.05,47.95,2014,8.74,14009,60.79,6579,28.55,20588,89.33,1960,8.5,22548,97.84,277,1.2,22825,99.04,221,0.96,23046,100
37215,16500,7,0.04,6,0.04,13,0.08,6,0.04,19,0.12,44,0.27,63,0.38,22,0.13,85,0.52,45,0.27,130,0.79,35,0.21,165,1,103,0.62,268,1.62,98.38,763,4.62,1031,6.25,427,2.59,1458,8.84,1552,9.41,3010,18.24,81.76,317,1.92,3327,20.16,6315,38.27,9642,58.44,3336,20.22,12978,78.65,2472,14.98,15450,93.64,1050,6.36,16500,100
37216,13961,33,0.24,72,0.52,105,0.75,32,0.23,137,0.98,66,0.47,203,1.45,192,1.38,395,2.83,308,2.21,703,5.04,315,2.26,1018,7.29,169,1.21,1187,8.5,91.5,3022,21.65,4209,30.15,748,5.36,4957,35.51,2183,15.64,7140,51.14,48.86,974,6.98,8114,58.12,4095,29.33,12209,87.45,1404,10.06,13613,97.51,176,1.26,13789,98.77,172,1.23,13961,100
37217,20580,560,2.72,185,0.9,745,3.62,306,1.49,1051,5.11,572,2.78,1623,7.89,240,1.17,1863,9.05,376,1.83,2239,10.88,334,1.62,2573,12.5,372,1.81,2945,14.31,85.69,5860,28.47,8805,42.78,1285,6.24,10090,49.03,2975,14.46,13065,63.48,36.52,1414,6.87,14479,70.35,4572,22.22,19051,92.57,1284,6.24,20335,98.81,142,0.69,20477,99.5,103,0.5,20580,100
37218,11538,116,1.01,0,0,116,1.01,91,0.79,207,1.79,279,2.42,486,4.21,151,1.31,637,5.52,363,3.15,1000,8.67,430,3.73,1430,12.39,356,3.09,1786,15.48,84.52,3325,28.82,5111,44.3,836,7.25,5947,51.54,2130,18.46,8077,70,30,629,5.45,8706,75.46,1692,14.66,10398,90.12,906,7.85,11304,97.97,138,1.2,11442,99.17,96,0.83,11538,100
37219,953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,52,5.46,52,5.46,0,0,52,5.46,145,15.22,197,20.67,79.33,39,4.09,236,24.76,434,45.54,670,70.3,110,11.54,780,81.85,138,14.48,918,96.33,35,3.67,953,100
37220,4278,0,0,11,0.26,11,0.26,0,0,11,0.26,0,0,11,0.26,0,0,11,0.26,7,0.16,18,0.42,0,0,18,0.42,0,0,18,0.42,99.58,479,11.2,497,11.62,158,3.69,655,15.31,453,10.59,1108,25.9,74.1,194,4.53,1302,30.43,1839,42.99,3141,73.42,664,15.52,3805,88.94,352,8.23,4157,97.17,121,2.83,4278,100
37221,30029,276,0.92,80,0.27,356,1.19,27,0.09,383,1.28,176,0.59,559,1.86,175,0.58,734,2.44,129,0.43,863,2.87,266,0.89,1129,3.76,156,0.52,1285,4.28,95.72,4323,14.4,5608,18.68,1104,3.68,6712,22.35,4296,14.31,11008,36.66,63.34,2036,6.78,13044,43.44,9671,32.21,22715,75.64,4803,15.99,27518,91.64,1111,3.7,28629,95.34,1400,4.66,30029,100
37228,1232,0,0,0,0,0,0,3,0.24,3,0.24,0,0,3,0.24,18,1.46,21,1.7,144,11.69,165,13.39,36,2.92,201,16.31,29,2.35,230,18.67,81.33,264,21.43,494,40.1,0,0,494,40.1,223,18.1,717,58.2,41.8,28,2.27,745,60.47,209,16.96,954,77.44,180,14.61,1134,92.05,53,4.3,1187,96.35,45,3.65,1232,100
